Time,Country Name,Forest area (% of land area),"GDP per capita, PPP (current international $)",Total natural resources rents (% of GDP) ,Crop production,Fertilizerconsumption(%),"Electricity production from oil, gas and coal sources (% of total)","Access to electricity, rural (% of rural population) ","Access to electricity, urban (% of urban population) ",Electric power consumption (kWh per capita) ,Renewable energy consumption (%)
2008,United States,33.6360635,48570.04598,1.92914076,86.09,108.3660074,71.39217772,100,100,13663.42797,6.85
2008,United Kingdom,12.5573513,36771.00799,1.336595762,100.23,193.2288401,80.21671907,100,100,6015.726861,2.4
2008,Thailand,38.86942395,12111.37185,3.623097044,89.89,1440.250175,93.4021136,91.54569544,99.48749542,2080.508893,22.63
2008,Pakistan,5.418788917,3970.971281,2.301859265,92.86,121.6576765,67.90735243,73.69893988,95.82015991,389.6425442,46.63
2008,Norway,33.14003789,62072.75399,12.61767226,107.08,21.88947728,0.429187589,100,100,24866.13431,58.45
2008,Netherlands,10.9799763,46420.20168,1.04292054,95.62,17.68793955,85.76130616,100,100,7173.046299,3.94
2008,Japan,68.44444444,35273.79115,0.023972483,108.5,115.0208817,64.49514181,100,100,8270.007731,4.44
2008,India,23.24607576,3636.060371,7.109348324,82.79,188.9650179,81.70058525,65.68992216,93.55664825,558.4267535,39.38
2008,Denmark,14.5878,41278.32683,2.107733046,93.03,..,70.09230937,100,100,6534.12385,18.54
2008,Kuwait,0.335016835,90355.24368,53.46051122,68.56,1.362408479,100,100,100,17063.82288,0
2009,United States,33.69273522,47194.94335,0.743921135,89.74,135.3823403,69.45036425,100,100,12913.71469,7.35
2009,United Kingdom,12.60075228,35094.36471,0.849461863,96.2,229.4642857,74.23278679,100,100,5643.128595,2.92
2009,Thailand,39.07984106,12018.17363,2.400931574,91.13,1396.251175,93.10282087,98.9229784,99.01,2071.809904,22.83
2009,Pakistan,5.364626142,4018.992583,1.839649545,94.01,143.1763258,67.50422098,75.17317087,96.17504883,403.154329,46.43
2009,Norway,33.13702621,55620.83798,8.365331979,87.47,27.28455613,3.330304858,100,100,23859.70958,56.72
2009,Netherlands,11.03118885,44557.39386,0.722759892,99.85,16.70896028,85.28907301,100,100,6856.281897,4.38
2009,Japan,68.4691358,33547.28342,0.019448966,104.36,104.3241661,63.0592988,100,100,8020.273806,4.51
2009,India,23.31014836,3892.530031,3.36239161,79.84,181.2310086,82.27508498,65.70223588,96.1,595.6056558,37.41
2009,Denmark,14.625025,40331.82423,1.183792143,100.47,..,70.16463733,100,100,6219.701092,19.33
2009,Kuwait,0.342873176,80128.44922,39.59076405,71.54,0.296173439,100,100,100,16669.70721,0
2010,United States,33.74940694,48650.64313,0.968704075,89.55,128.7111238,70.27776508,100,100,13394.90276,7.44
2010,United Kingdom,12.64415327,36578.93121,0.861239087,95.04,209.3795094,76.37854776,100,100,5700.855864,3.13
2010,Thailand,39.29025818,12988.92968,2.735680321,91.09,1832.473182,94.39011547,99.46565973,100,2271.449967,22.83
2010,Pakistan,5.310463367,4040.590849,2.27972758,89.98,129.8517309,62.67269876,82.05448963,96.53640747,408.0029046,47.4
2010,Norway,33.13401452,58226.71392,7.661614719,92.01,16.94412043,4.05800159,100,100,24890.92401,56.71
2010,Netherlands,11.07263564,45041.58371,0.762696109,97.06,18.60314105,85.84388363,100,100,7006.273821,3.85
2010,Japan,68.49382716,35335.37351,0.020096882,100.24,120.5538438,61.97064375,100,100,8594.909034,4.66
2010,India,23.37422095,4215.580828,4.497518643,87.96,171.4917641,81.23585892,68.37382365,94,637.1258442,36.16
2010,Denmark,14.66225,43000.85664,1.218069595,89.12,..,66.09541454,100,100,6327.506456,21.2
2010,Kuwait,0.350729517,75193.7119,48.82636057,75.44,0.514521289,100,100,100,17033.61741,0
2011,United States,33.77947006,50065.9665,1.235029305,87,131.0502162,68.41785822,100,100,13245.88193,8.36
2011,United Kingdom,12.72351507,37260.67197,1.075447162,99.4,176.5330189,71.06622002,100,100,5471.933475,3.94
2011,Thailand,39.28556049,13284.11978,3.147099982,99.16,2574.1045,91.9520998,99.01358291,99.69905853,2244.049097,22.96
2011,Pakistan,5.268659195,4149.384358,2.6157598,98.54,126.2138992,64.47365654,82.91519749,96.89776611,399.3399124,46.76
2011,Norway,33.15537011,62460.09082,10.03239194,80.18,19.57857523,3.365513967,100,100,23510.38383,56.71
2011,Netherlands,11.02461447,46599.02103,1.020627849,102.94,15.6043666,83.90354764,100,100,7060.053768,4.69
2011,Japan,68.48175583,36214.43977,0.02167697,100.33,125.4338911,73.82950187,100,100,8099.598695,4.82
2011,India,23.46382169,4467.466655,5.305075671,94.29,171.1962371,79.63232502,72.30387195,95.36600494,692.779357,35.01
2011,Denmark,14.8532,44403.38484,1.635378919,90.77,..,57.53782395,100,100,6165.97362,23.83
2011,Kuwait,0.350729517,78780.72849,59.06969602,107.96,1.066551645,100,100,100,16023.47459,0
2012,United States,33.80953318,51784.41857,0.776694501,85.99,133.6280711,68.86283964,100,100,12964.18794,8.73
2012,United Kingdom,12.80287687,38332.48151,0.866071942,85.73,162.8587507,68.4682032,100,100,5449.259473,4.15
2012,Thailand,39.28086281,14586.90662,2.905711673,106.02,2302.653691,91.60912927,98.82440282,99.44981977,2396.936606,23.56
2012,Pakistan,5.226855023,4189.268563,2.563052398,94.49,134.2339405,64.20286086,83.80755152,97.25267029,396.2694237,47.2
2012,Norway,33.1767257,65774.35207,9.341709928,84.37,18.19763486,1.92916178,100,100,24070.98592,57.68
2012,Netherlands,10.97330961,47272.10302,1.132020117,96.19,16.62217069,82.25328661,100,100,6876.589753,4.9
2012,Japan,68.4696845,37605.97426,0.020090171,101.23,128.8915422,81.14717328,100,100,7998.346771,4.68
2012,India,23.55342242,4827.945973,4.023837693,95.71,159.5402789,81.28737036,72.40401075,96.1,718.2959462,34.75
2012,Denmark,15.04415,44803.96824,1.522098458,93.69,..,49.29481124,100,100,6038.552307,26.93
2012,Kuwait,0.350729517,81564.6333,58.14490732,101.55,1.164243478,100,100,100,15837.21271,0
2013,United States,33.8395963,53291.12769,0.750833996,92.94,127.1519431,67.82464847,100,100,13004.02357,9.08
2013,United Kingdom,12.88223866,39975.1903,0.71735877,89.63,420.1438849,64.59252883,100,100,5409.626422,5.18
2013,Thailand,39.27616512,15090.09836,2.61852748,105.05,2625.959747,91.72206998,98.97097779,99.90927124,2462.926749,23.21
2013,Pakistan,5.185050851,4302.063747,2.14619456,101,141.2138249,64.10315539,84.76111637,97.59464264,426.4343998,48.13
2013,Norway,33.2090866,67377.92623,8.168547429,78.93,16.33745833,1.982973111,100,100,23806.88488,57.24
2013,Netherlands,10.93173048,49241.51784,1.119898016,97.53,13.08195579,83.39329244,100,100,6833.911435,4.94
2013,Japan,68.45761317,39402.0251,0.023212687,100.91,129.6992199,81.59735363,100,100,7988.58331,5.05
2013,India,23.64302315,5016.928746,3.673088334,100,149.517842,79.72050931,76.81554905,96.55071259,758.1106752,34.86
2013,Denmark,15.2351,46726.85414,1.176083463,93.84,..,51.98169415,100,100,6039.432,27.05
2013,Kuwait,0.350729517,75486.71538,56.34265474,121.84,1.254454991,100,100,100,14694.56616,0
2014,United States,33.86965942,55123.84979,0.703153662,97.81,121.2104719,67.46195321,100,100,12993.96558,9.22
2014,United Kingdom,12.96160046,41285.0644,0.569359661,104.18,420.2937976,60.96876463,100,100,5130.390253,6.53
2014,Thailand,39.27146744,15143.39573,2.822827174,103.14,2507.952038,91.48546525,99.15653756,99.9013443,2483.557147,24.41
2014,Pakistan,5.143246679,4474.062166,1.995346885,102.44,132.7262463,63.47253898,85.79587693,97.91876984,419.6845943,47.22
2014,Norway,33.23181086,66332.46144,7.517449921,97.26,17.15918607,1.970600314,100,100,22999.9346,56.32
2014,Netherlands,10.88037993,49233.2154,0.689866623,102.53,13.00318444,83.01069446,100,100,6712.774758,5.53
2014,Japan,68.44554184,39555.41201,0.028070884,101.84,144.1347667,82.79272981,100,100,7819.714636,5.58
2014,India,23.73262388,5187.255759,2.813689851,101.28,154.5461136,80.89615531,79.39389293,97.11875153,797.349232,33.85
2014,Denmark,15.42605,47901.44736,0.983209243,101.12,..,41.84998757,100,100,5858.801536,30.19
2014,Kuwait,0.350729517,68766.26849,53.97142231,109.54,1.95016377,100,100,100,15297.81071,0
2015,United States,33.89972254,56762.72945,0.23437177,95.48,123.1155989,67.07870147,100,100,..,9.03
2015,United Kingdom,13.04096226,42597.68296,0.337710046,102.87,366.6908388,53.180856,100,100,..,7.71
2015,Thailand,39.26676975,15466.76063,1.930923207,96.15,2102.598676,91.46152115,99.50881734,99.7,..,22.65
2015,Pakistan,5.101442507,4652.609874,1.22522778,97.14,119.9070156,63.08710908,86.89541174,98.22628021,..,45.88
2015,Norway,33.24564399,60737.88681,5.162398616,101.85,17.5503716,1.930212198,100,100,..,57.28
2015,Netherlands,10.83546184,50288.59139,0.442606663,99.81,12.93594202,82.23312438,100,100,..,5.75
2015,Japan,68.43347051,40898.80697,0.028968712,99.89,131.9384297,80.25937295,100,100,..,6.16
2015,India,23.82222461,5412.336239,1.777640024,97.71,149.4416731,81.89209865,83.36793211,97.5,..,33.4
2015,Denmark,15.617,49045.33919,0.521484569,103.9,..,31.89967872,100,100,..,32.53
2015,Kuwait,0.350729517,46346.70359,37.3135995,96.91,1.975461129,100,100,100,..,0.01
2016,United States,33.89972254,57866.74493,0.303325431,106.71,117.2679798,..,100,100,..,9.46
2016,United Kingdom,13.05749597,44255.11207,0.273025132,92.95,473.5172851,..,100,100,..,7.68
2016,Thailand,39.18064554,16231.25449,1.553218877,100.71,2181.999296,..,99.89215588,99.87781525,..,22.43
2016,Pakistan,5.017953508,4733.546102,0.965331246,100.42,119.0823036,..,88.03216393,98.51994324,..,43.69
2016,Norway,33.27109973,59280.1992,3.867094646,100.89,18.77060391,..,100,100,..,58.37
2016,Netherlands,10.86308286,52288.41508,0.251209116,97.66,13.00096124,..,100,100,..,5.62
2016,Japan,68.42249657,40596.96866,0.025176865,98.27,129.2409011,..,100,100,..,6.38
2016,India,23.91182535,5778.269614,1.748390235,101,144.72852,..,85.30486711,98.20775604,..,33.01
2016,Denmark,15.6165,51976.00571,0.342477975,94.98,..,..,100,100,..,31.95
2016,Kuwait,0.350729517,43678.51632,32.36412559,93.55,1.649164214,..,100,100,..,0.01
2017,United States,33.86692641,59907.75426,0.427546324,100.53,110.4042333,..,100,100,..,9.92
2017,United Kingdom,13.07816311,46104.0554,0.39788522,101.62,412.5511596,..,100,100,..,8.81
2017,Thailand,39.11018027,17008.03842,1.632152607,102.94,1904.314184,..,99.9,99.9,..,22.25
2017,Pakistan,4.99418846,4891.719774,1.106806836,105.3,131.6315867,..,89.13969697,98.80252838,..,42.1
2017,Norway,33.29453362,64589.55592,5.335903477,98.95,17.22599933,..,100,100,..,59.52
2017,Netherlands,10.89100089,55088.6338,0.28356478,106.97,17.7491164,..,100,100,..,6.39
2017,Japan,68.40877915,41444.21574,0.038445869,98.54,134.4810038,..,100,100,..,6.92
2017,India,24.00142608,6112.06665,1.983934016,107.38,146.530556,..,88.28230415,98.73425293,..,32.57
2017,Denmark,15.64,55356.68078,0.470200712,107.11,..,..,100,100,..,35.02
2017,Kuwait,0.350729517,50007.29954,36.75793361,101.96,1.922754724,..,100,100,..,0.02
2018,United States,33.86692641,62823.30944,0.59567881,100.21,109.3040708,..,100,100,..,10.12
2018,United Kingdom,13.11536395,47202.19961,0.626195353,91.35,436.8188513,..,100,100,..,10.09
2018,Thailand,39.03971501,18093.81978,1.816706426,106.34,1585.50552,..,99.73018341,99.91,..,23.7
2018,Pakistan,4.940561436,5236.364249,1.241239335,94.81,131.6315867,..,90.10956657,99.07679749,..,43.36
2018,Norway,33.31726503,70253.84637,7.393622118,71.74,18.02595003,..,100,100,..,59.74
2018,Netherlands,10.91862192,57826.6285,0.355103573,93.37,17.9195623,..,100,100,..,7.44
2018,Japan,68.40877915,42141.9353,0.036755402,96.51,132.8648516,..,100,100,..,7.26
2018,India,24.09102681,6590.882301,2.255316321,110.94,152.7011876,..,93.94614219,99.1,..,32.73
2018,Denmark,15.664,57482.9624,0.587862612,75.83,..,..,100,100,..,34.56
2018,Kuwait,0.350729517,50119.62476,45.15228961,100.31,3.48108957,..,100,100,..,0.03
2019,United States,33.86692641,65120.39466,0.557098126,93.69,105.4373403,..,100,100,..,10.42
2019,United Kingdom,13.15256479,49288.69311,0.540491129,101.09,439.1752577,..,100,100,..,11.39
2019,Thailand,38.96924974,18760.4124,1.512424915,102.49,1492.314988,..,99.9,99.9,..,23.95
2019,Pakistan,4.886934413,5376.284117,1.30340484,101.62,124.4481341,..,90.74120583,99.3,..,45.88
2019,Norway,33.33990698,69916.37683,6.26890345,101.43,17.83418889,..,100,100,..,60.6
2019,Netherlands,10.94653995,60208.42217,0.218267468,104.56,16.99975438,..,100,100,..,8.61
2019,Japan,68.40877915,42270.96279,0.093228662,97.73,130.9844989,..,100,100,..,7.76
2019,India,24.18062754,6897.770038,2.012245384,112.34,156.483317,..,93.84525455,99.76509094,..,33.27
2019,Denmark,15.6875,59910.66484,0.446224763,103.74,..,..,100,100,..,37.29
2019,Kuwait,0.350729517,49321.47237,39.83867034,120.73,..,..,100,100,..,0.06
2020,United States,33.86692641,63528.6343,0.329505972,98.44,106.4674212,..,100,100,..,11.16
2020,United Kingdom,13.18563221,45872.02729,0.283975048,82.19,341.8342325,..,100,100,..,13.5
2020,Thailand,38.89878447,17810.25075,1.109568396,95.97,1934.50583,..,100,99.82936859,..,20.83
2020,Pakistan,4.833307389,5284.664584,1.12387027,106.11,121.146026,..,91.45523249,99.60820007,..,46.6
2020,Norway,33.43535968,65130.17219,4.181286896,100.22,16.92133495,..,100,100,..,61.29
2020,Netherlands,10.97416097,59822.95427,0.083744035,102.88,16.87204079,..,100,100,..,10.79
2020,Japan,68.40877915,41683.91558,0.096997201,95.97,125.1123753,..,100,100,..,8.45
2020,India,24.27022827,6517.761388,1.784669207,115.75,176.0422472,..,95.15821987,99,..,35.82
2020,Denmark,15.711,60832.15829,0.162332732,103.05,..,..,100,100,..,39.7
2020,Kuwait,0.350729517,46382.89974,29.2848673,120.97,..,..,100,100,..,0.1
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,
Last Updated: 10/26/2023,,,,,,,,,,,
